[Mon Oct 14 10:09:16.919546 2019] [core:error] [pid 1] AH00046: child process 296 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.919603 2019] [core:error] [pid 1] AH00046: child process 202 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.919617 2019] [core:error] [pid 1] AH00046: child process 203 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.919630 2019] [core:error] [pid 1] AH00046: child process 204 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:16.919650 2019] [core:error] [pid 1] AH00046: child process 205 still did not exit, sending a SIGKILL
[Mon Oct 14 10:09:18.010620 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 15 01:50:11.561685 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 15 01:50:11.662813 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 15 09:53:37.662396 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Tue Oct 15 09:59:49.201724 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Tue Oct 15 09:59:49.270164 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Tue Oct 15 10:09:49.536357 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Wed Oct 16 01:07:07.862076 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Wed Oct 16 01:07:07.996691 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Wed Oct 16 10:28:32.310458 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132427 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132456 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132465 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132473 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132482 2019] [core:warn] [pid 1] AH00045: child process 27 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132491 2019] [core:warn] [pid 1] AH00045: child process 28 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132500 2019] [core:warn] [pid 1] AH00045: child process 39 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:33.132509 2019] [core:warn] [pid 1] AH00045: child process 802 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133548 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133584 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133622 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133631 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133640 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133649 2019] [core:warn] [pid 1] AH00045: child process 27 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133658 2019] [core:warn] [pid 1] AH00045: child process 28 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133666 2019] [core:warn] [pid 1] AH00045: child process 39 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:34.133675 2019] [core:warn] [pid 1] AH00045: child process 802 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135738 2019] [core:warn] [pid 1] AH00045: child process 16 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135773 2019] [core:warn] [pid 1] AH00045: child process 17 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135782 2019] [core:warn] [pid 1] AH00045: child process 18 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135803 2019] [core:warn] [pid 1] AH00045: child process 19 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135811 2019] [core:warn] [pid 1] AH00045: child process 20 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135819 2019] [core:warn] [pid 1] AH00045: child process 27 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135827 2019] [core:warn] [pid 1] AH00045: child process 28 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135835 2019] [core:warn] [pid 1] AH00045: child process 39 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:36.135843 2019] [core:warn] [pid 1] AH00045: child process 802 still did not exit, sending a SIGTERM
[Wed Oct 16 10:28:38.137963 2019] [core:error] [pid 1] AH00046: child process 16 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138010 2019] [core:error] [pid 1] AH00046: child process 17 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138025 2019] [core:error] [pid 1] AH00046: child process 18 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138041 2019] [core:error] [pid 1] AH00046: child process 19 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138057 2019] [core:error] [pid 1] AH00046: child process 20 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138073 2019] [core:error] [pid 1] AH00046: child process 27 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138093 2019] [core:error] [pid 1] AH00046: child process 28 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138108 2019] [core:error] [pid 1] AH00046: child process 39 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:38.138124 2019] [core:error] [pid 1] AH00046: child process 802 still did not exit, sending a SIGKILL
[Wed Oct 16 10:28:39.455846 2019] [mpm_prefork:notice] [pid 1] AH00169: caught SIGTERM, shutting down
[Thu Oct 17 01:05:32.133739 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Thu Oct 17 01:05:32.149964 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Mon Oct 21 08:13:10.932621 2019] [mpm_prefork:notice] [pid 1] AH00163: Apache/2.4.25 (Debian) PHP/7.2.10 OpenSSL/1.0.2l configured -- resuming normal operations
[Mon Oct 21 08:13:11.013499 2019] [core:notice] [pid 1] AH00094: Command line: 'apache2 -D FOREGROUND'
[Mon Oct 21 10:05:50.975289 2019] [core:warn] [pid 1] AH00045: child process 21 still did not exit, sending a SIGTERM
